Sample Type,Year,Month,Species,Treatment,Subsample #,Tree ID#s,Lab ID,%wt Bsi
Green Leaf,2003,8,ACRU,Heated,1,"134, 16, 24, 114",G1,1.792560846
Green Leaf,2003,8,ACRU,Heated,2,"134, 16, 24, 114",G2,1.727890622
Green Leaf,2003,8,ACRU,Heated,3,"134, 16, 24, 114",G3,1.813176729
Green Leaf,2003,8,ACRU,Control,1,"347, 393, 218, 417",G4,1.476247574
Green Leaf,2003,8,ACRU,Control,2,"347, 393, 218, 417",G5,1.489374721
Green Leaf,2003,8,ACRU,Control,3,"347, 393, 218, 417",G6,1.50626
Green Leaf,2003,8,QURU,Heated,1,"107, 91, 42, 27, 11",G7,0.451138811
Green Leaf,2003,8,QURU,Heated,2,"107, 91, 42, 27, 11",G8,0.495240963
Green Leaf,2003,8,QURU,Heated,3,"107, 91, 42, 27, 11",G9,0.467563513
Green Leaf,2003,8,QURU,Control,1,"241, 376, 342, 42",G10,0.37772864
Green Leaf,2003,8,QURU,Control,2,"241, 376, 342, 42",G11,0.430095
Green Leaf,2003,8,QURU,Control,3,"241, 376, 342, 42",G12,0.473959363
Green Leaf,2005,8,ACRU,Heated,1,"32, 114, 134, 16",G13,1.525883581
Green Leaf,2005,8,ACRU,Heated,2,"32, 114, 134, 16",G14,1.520811479
Green Leaf,2005,8,ACRU,Heated,3,"32, 114, 134, 16",G15,1.598862127
Green Leaf,2005,8,ACRU,Control,1,"417, 430, 218, 393, 347",G16,1.437512663
Green Leaf,2005,8,ACRU,Control,2,"417, 430, 218, 393, 347",G17,1.378779729
Green Leaf,2005,8,ACRU,Control,3,"417, 430, 218, 393, 347",G18,1.468592959
Green Leaf,2005,8,QURU,Heated,1,"91, 107, 42, 27, 11",G19,0.421667131
Green Leaf,2005,8,QURU,Heated,2,"91, 107, 42, 27, 11",G20,0.433633701
Green Leaf,2005,8,QURU,Heated,3,"91, 107, 42, 27, 11",G21,0.422138951
Green Leaf,2005,8,QURU,Control,1,"385, 376, 351, 342, 241",G22,0.433197381
Green Leaf,2005,8,QURU,Control,2,"385, 376, 351, 342, 241",G23,0.457141224
Green Leaf,2005,8,QURU,Control,3,"385, 376, 351, 342, 241",G24,0.407570632
Green Leaf,2008,7,ACRU,Heated,1,"24, 114, 32, 16, 134",G25,1.096753614
Green Leaf,2008,7,ACRU,Heated,2,"24, 114, 32, 16, 134",G26,1.151764568
Green Leaf,2008,7,ACRU,Heated,3,"24, 114, 32, 16, 134",G27,1.200541774
Green Leaf,2008,7,ACRU,Control,1,"417, 347, 218, 393",G28,0.985498935
