Sample Type,Year,Species,Treatment,Litter Basket,Lab ID,%wt Bsi
Litter,2003,QURU,Heated,10,L1,0.597787604
Litter,2003,QURU,Heated,26,L2,0.532642522
Litter,2003,QURU,Heated,29,L3,0.556521276
Litter,2003,QURU,Control,9,L4,0.49921562
Litter,2003,QURU,Control,27,L5,0.526644926
Litter,2003,QURU,Control,29,L6,0.518937123
Litter,2003,ACRU,Heated,10,L7,1.983087179
Litter,2003,ACRU,Heated,26,L8,2.233703809
Litter,2003,ACRU,Heated,29,L9,1.955998763
Litter,2003,ACRU,Control,9,L10,1.823487107
Litter,2003,ACRU,Control,29,L11,2.011565732
Litter,2003,ACRU,Control,27,L12,2.137649331
Litter,2005,QURU,Heated,29,L13,0.522040807
Litter,2005,QURU,Heated,26,L14,0.472000266
Litter,2005,QURU,Heated,10,L15,0.480616163
Litter,2005,QURU,Control,9,L16,0.520347019
Litter,2005,QURU,Control,27,L17,0.509004055
Litter,2005,QURU,Control,29,L18,0.53157672
Litter,2005,ACRU,Heated,29,L19,1.625131974
Litter,2005,ACRU,Heated,26,L20,1.560834921
Litter,2005,ACRU,Heated,10,L21,1.722451602
Litter,2005,ACRU,Control,9,L22,1.619529727
Litter,2005,ACRU,Control,27,L23,1.830176225
Litter,2005,ACRU,Control,29,L24,1.666527077
Litter,2008,QURU,Heated,,L25,0.614935144
Litter,2008,QURU,Heated,,L26,0.598576598
Litter,2008,QURU,Heated,,L27,0.560606158
Litter,2008,QURU,Control,,L28,0.500715626
Litter,2008,QURU,Control,,L29,0.546905581
Litter,2008,QURU,Control,,L30,0.563961185
Litter,2008,ACRU,Heated,,L32,1.903700263
Litter,2008,ACRU,Heated,,L33,2.219176487
Litter,2008,ACRU,Control,,L34,2.359723057
Litter,2008,ACRU,Control,,L35,2.391371767
Litter,2008,ACRU,Control,,L36,2.325381395
Litter,2010,QURU,Heated,14,L37,0.653244582
Litter,2010,QURU,Heated,15,L38,0.61049715
Litter,2010,QURU,Heated,16,L39,0.65364873
Litter,2010,QURU,Control,25,L40,0.544946163
Litter,2010,QURU,Control,27,L41,0.518527722
Litter,2010,QURU,Control,28,L42,0.517120934
Litter,2010,ACRU,Heated,16,L43,1.519352671
Litter,2010,ACRU,Heated,14,L44,1.660202049
Litter,2010,ACRU,Heated,15,L45,1.428889129
Litter,2010,ACRU,Control,25,L46,1.577220915
Litter,2010,ACRU,Control,28,L47,1.507474648
Litter,2010,ACRU,Control,27,L48,2.029206254
Litter,2012,QURU,Heated,16,L49,0.61940314
Litter,2012,QURU,Heated,15,L50,0.521084069
Litter,2012,QURU,Heated,14,L51,0.560032907
Litter,2012,QURU,Control,25,L52,0.692458485
Litter,2012,QURU,Control,27,L53,0.553009286
Litter,2012,QURU,Control,28,L54,0.649680227
Litter,2012,ACRU,Heated,16,L55,1.363331479
Litter,2012,ACRU,Heated,15,L56,1.290838143
Litter,2012,ACRU,Heated,14,L57,1.676700943
Litter,2012,ACRU,Control,28,L58,1.629586701
Litter,2012,ACRU,Control,27,L59,1.843732392
Litter,2012,ACRU,Control,25,L60,1.633902613
Litter,2014,QURU,Heated,16,L61,0.585047607
Litter,2014,QURU,Heated,15,L62,0.525037797
Litter,2014,QURU,Heated,14,L63,0.54441763
Litter,2014,QURU,Control,28,L64,0.600187429
Litter,2014,QURU,Control,27,L65,0.536544109
Litter,2014,QURU,Control,25,L66,0.490113623
Litter,2014,ACRU,Heated,14,L67,2.274077781
Litter,2014,ACRU,Heated,15,L68,2.05437561
Litter,2014,ACRU,Heated,16,L69,2.082707228
Litter,2014,ACRU,Control,25,L70,1.8745774
Litter,2014,ACRU,Control,24,L71,2.039964585
Litter,2014,ACRU,Control,28,L72,1.763441378
Litter,2016,QURU,Heated,14,L73,0.56431923
Litter,2016,QURU,Heated,15,L74,0.584717284
Litter,2016,QURU,Heated,16,L75,0.633605119
Litter,2016,QURU,Control,25,L76,0.590606951
Litter,2016,QURU,Control,27,L77,0.604873865
Litter,2016,QURU,Control,28,L78,0.548135532
Litter,2016,ACRU,Heated,14,L79,1.781707902
Litter,2016,ACRU,Heated,15,L80,1.637830062
Litter,2016,ACRU,Heated,16,L81,1.553584326
Litter,2016,ACRU,Control,25,L82,1.733410244
Litter,2016,ACRU,Control,27,L83,1.941470996
Litter,2016,ACRU,Control,28,L84,1.418048439
