Sample Type,Date,Layer,Treatment,Subplot,Melillo Lab Code,Lab ID,%wt Bsi,
Soil,5/7/02,Mineral,Heated,30,1016/1017,S1,1.395083851,
Soil,5/7/02,Mineral,Heated,11,1004/1005,S2,1.266236749,
Soil,5/7/02,Mineral,Heated,26,1012/1013,S3,1.087447815,
Soil,5/7/02,Mineral,Control,14,1026/1027,S4,1.380428402,
Soil,5/7/02,Mineral,Control,34,1038/1039,S5,0.728073633,
Soil,5/7/02,Mineral,Control,27,1034/1035,S6,1.102532988,
Soil,5/7/02,Organic,Heated,30,1016/1017,S7,1.261857143,
Soil,5/7/02,Organic,Heated,26,1012/1013,S8,1.652348518,
Soil,5/7/02,Organic,Heated,11,1004,S9,1.29621078,
Soil,5/7/02,Organic,Control,34,1038/1039,S10,0.871666949,
Soil,5/7/02,Organic,Control,27,1034,S11,1.361694411,
Soil,5/7/02,Organic,Control,14,1026,S12,1.066819869,
Soil,6/28/05,Mineral,Heated,26,2692,S13,0.82647561,
Soil,6/28/05,Mineral,Heated,30,2696,S14,1.446822546,
Soil,6/28/05,Mineral,Heated,11,2684,S15,1.195780411,
Soil,6/28/05,Mineral,Control,14,2806,S16,1.069428341,
Soil,6/28/05,Mineral,Control,27,2814,S17,1.147248322,
Soil,6/28/05,Mineral,Control,34,2818,S18,0.918616197,
Soil,6/28/05,Organic,Heated,11,2684,S19,1.441463877,
Soil,6/28/05,Organic,Heated,30,2696,S20,1.013329918,
Soil,6/28/05,Organic,Heated,26,2692,S21,0.875084511,
Soil,6/28/05,Organic,Control,34,2818,S22,1.065879725,
Soil,6/28/05,Organic,Control,27,2814,S23,1.300753321,
Soil,6/28/05,Organic,Control,14,2806,S24,1.214688924,
Soil,5/3/10,Mineral,Heated,11,5084/5085,S25,1.2246195,
Soil,5/3/10,Mineral,Heated,26,5092/5093,S26,1.128305155,
Soil,5/3/10,Mineral,Heated,30,5096/5097,S27,0.602747009,
Soil,5/3/10,Mineral,Control,14,5206/5207,S28,1.230948624,
Soil,5/3/10,Mineral,Control,27,5214/5215,S29,0.798539286,
Soil,5/3/10,Mineral,Control,34,5218/5219,S30,0.658662301,
Soil,5/3/10,Organic,Heated,11,5084/5085,S31,1.367909063,
Soil,5/3/10,Organic,Heated,26,5092/5093,S32,1.37544251,
Soil,5/3/10,Organic,Heated,30,5096/5097,S33,1.418842322,
Soil,5/3/10,Organic,Control,14,5206/5207,S34,1.470918796,
Soil,5/3/10,Organic,Control,27,5214/5215,S35,1.400368365,
Soil,5/3/10,Organic,Control,34,5218/5219,S36,0.865950615,
Soil,5/20/16,Mineral,Heated,26,6873,S37,1.161158779,
Soil,5/20/16,Mineral,Heated,11,6865,S38,1.006258421,
Soil,5/20/16,Mineral,Heated,32,6879,S39,0.898722449,
Soil,5/20/16,Mineral,Control,27,6895,S40,0.805454709,
Soil,5/20/16,Mineral,Control,34,6899,S41,0.90197095,
Soil,5/20/16,Mineral,Control,12,6884,S42,1.08557793,
Soil,5/20/16,Organic,Heated,26,6873,S43,1.105114089,
Soil,5/20/16,Organic,Heated,11,6865,S44,0.760913043,
Soil,5/20/16,Organic,Heated,32,6879,S45,1.313325514,
Soil,5/20/16,Organic,Control,27,6895,S46,1.01854485,
Soil,5/20/16,Organic,Control,34,6899,S47,1.000791579,
Soil,5/20/16,Organic,Control,12,6884,S48,0.921185624,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
